"Date,""Open"",""High"",""Low"",""Close"",""Result ‌CCI‌ (20)"""
"Thu Jan 14 2021 09:15:00 GMT+0530 (India Standard Time),""14550.05"",""14562.65"",""14521.55"",""14521.55"",""-43.92"""
"Thu Jan 14 2021 09:30:00 GMT+0530 (India Standard Time),""14521.15"",""14527.60"",""14482.80"",""14494.15"",""-124.27"""
"Thu Jan 14 2021 09:45:00 GMT+0530 (India Standard Time),""14494.40"",""14517.05"",""14472.45"",""14515.65"",""-107.99"""
"Thu Jan 14 2021 10:00:00 GMT+0530 (India Standard Time),""14515.05"",""14525.60"",""14503.95"",""14507.80"",""-69.07"""
"Thu Jan 14 2021 10:15:00 GMT+0530 (India Standard Time),""14508.80"",""14530.45"",""14499.95"",""14530.45"",""-41.52"""
"Thu Jan 14 2021 10:30:00 GMT+0530 (India Standard Time),""14531.05"",""14539.15"",""14525.30"",""14537.40"",""1.40"""
"Thu Jan 14 2021 10:45:00 GMT+0530 (India Standard Time),""14537.25"",""14545.75"",""14528.30"",""14540.20"",""15.96"""
"Thu Jan 14 2021 11:00:00 GMT+0530 (India Standard Time),""14540.80"",""14576.60"",""14540.20"",""14567.55"",""88.82"""
"Thu Jan 14 2021 11:15:00 GMT+0530 (India Standard Time),""14567.45"",""14586.70"",""14556.65"",""14581.65"",""125.39"""
"Thu Jan 14 2021 11:30:00 GMT+0530 (India Standard Time),""14581.70"",""14587.00"",""14565.20"",""14573.75"",""125.22"""
"Thu Jan 14 2021 11:45:00 GMT+0530 (India Standard Time),""14573.55"",""14576.50"",""14557.15"",""14566.40"",""94.14"""
"Thu Jan 14 2021 12:00:00 GMT+0530 (India Standard Time),""14565.00"",""14576.20"",""14557.30"",""14569.90"",""90.29"""
"Thu Jan 14 2021 12:15:00 GMT+0530 (India Standard Time),""14570.00"",""14590.70"",""14569.70"",""14590.25"",""116.60"""
"Thu Jan 14 2021 12:30:00 GMT+0530 (India Standard Time),""14590.25"",""14596.20"",""14576.75"",""14583.05"",""109.09"""
"Thu Jan 14 2021 12:45:00 GMT+0530 (India Standard Time),""14584.10"",""14588.90"",""14565.80"",""14571.80"",""76.67"""
"Thu Jan 14 2021 13:00:00 GMT+0530 (India Standard Time),""14571.30"",""14586.65"",""14556.15"",""14584.80"",""70.73"""
"Thu Jan 14 2021 13:15:00 GMT+0530 (India Standard Time),""14584.40"",""14584.95"",""14566.35"",""14575.50"",""64.30"""
