"Date,""Open"",""High"",""Low"",""Close"",""Result ‌CCI‌ (20)"""
"Fri Jan 08 2021 11:15:00 GMT+0530 (India Standard Time),""15479.90"",""15489.00"",""15469.85"",""15486.50"",""-11.22"""
"Fri Jan 08 2021 11:30:00 GMT+0530 (India Standard Time),""15486.55"",""15526.45"",""15484.30"",""15519.30"",""79.47"""
"Fri Jan 08 2021 11:45:00 GMT+0530 (India Standard Time),""15518.65"",""15528.60"",""15498.90"",""15518.00"",""99.45"""
"Fri Jan 08 2021 12:00:00 GMT+0530 (India Standard Time),""15517.65"",""15518.70"",""15485.25"",""15500.25"",""62.35"""
"Fri Jan 08 2021 12:15:00 GMT+0530 (India Standard Time),""15500.95"",""15510.00"",""15498.20"",""15504.40"",""68.69"""
"Fri Jan 08 2021 12:30:00 GMT+0530 (India Standard Time),""15504.55"",""15514.90"",""15485.60"",""15513.75"",""70.15"""
"Fri Jan 08 2021 12:45:00 GMT+0530 (India Standard Time),""15515.50"",""15521.15"",""15489.65"",""15490.55"",""55.56"""
"Fri Jan 08 2021 13:00:00 GMT+0530 (India Standard Time),""15492.10"",""15494.70"",""15478.15"",""15485.40"",""10.46"""
"Fri Jan 08 2021 13:15:00 GMT+0530 (India Standard Time),""15483.90"",""15497.60"",""15468.90"",""15484.75"",""5.10"""
"Fri Jan 08 2021 13:30:00 GMT+0530 (India Standard Time),""15485.40"",""15485.40"",""15440.30"",""15469.90"",""-55.40"""
"Fri Jan 08 2021 13:45:00 GMT+0530 (India Standard Time),""15470.20"",""15491.20"",""15468.60"",""15485.80"",""-7.55"""
"Fri Jan 08 2021 14:00:00 GMT+0530 (India Standard Time),""15485.80"",""15489.00"",""15463.55"",""15480.45"",""-43.36"""
"Fri Jan 08 2021 14:15:00 GMT+0530 (India Standard Time),""15479.95"",""15493.70"",""15451.70"",""15489.35"",""-37.31"""
"Fri Jan 08 2021 14:30:00 GMT+0530 (India Standard Time),""15488.80"",""15511.30"",""15477.00"",""15505.15"",""46.54"""
"Fri Jan 08 2021 14:45:00 GMT+0530 (India Standard Time),""15504.95"",""15530.15"",""15503.50"",""15511.35"",""119.35"""
"Fri Jan 08 2021 15:00:00 GMT+0530 (India Standard Time),""15511.60"",""15521.85"",""15489.95"",""15513.25"",""78.29"""
"Fri Jan 08 2021 15:15:00 GMT+0530 (India Standard Time),""15513.10"",""15531.15"",""15501.75"",""15510.20"",""96.45"""
"Mon Jan 11 2021 09:15:00 GMT+0530 (India Standard Time),""15613.50"",""15613.50"",""15499.50"",""15582.10"",""269.39"""
"Mon Jan 11 2021 09:30:00 GMT+0530 (India Standard Time),""15582.40"",""15597.40"",""15567.35"",""15591.00"",""277.10"""
"Mon Jan 11 2021 09:45:00 GMT+0530 (India Standard Time),""15590.80"",""15626.20"",""15572.70"",""15618.55"",""261.15"""
"Mon Jan 11 2021 10:00:00 GMT+0530 (India Standard Time),""15617.30"",""15621.85"",""15570.30"",""15576.50"",""173.23"""
"Mon Jan 11 2021 10:15:00 GMT+0530 (India Standard Time),""15577.55"",""15577.55"",""15496.05"",""15519.30"",""34.39"""
"Mon Jan 11 2021 10:30:00 GMT+0530 (India Standard Time),""15519.25"",""15552.15"",""15496.00"",""15541.75"",""29.53"""
"Mon Jan 11 2021 10:45:00 GMT+0530 (India Standard Time),""15542.35"",""15549.75"",""15511.30"",""15514.45"",""16.57"""
"Mon Jan 11 2021 11:00:00 GMT+0530 (India Standard Time),""15514.65"",""15534.55"",""15508.60"",""15519.65"",""5.71"""
"Mon Jan 11 2021 11:15:00 GMT+0530 (India Standard Time),""15519.40"",""15527.45"",""15495.80"",""15525.15"",""-6.07"""
"Mon Jan 11 2021 11:30:00 GMT+0530 (India Standard Time),""15524.95"",""15532.65"",""15500.75"",""15502.95"",""-16.49"""
"Mon Jan 11 2021 11:45:00 GMT+0530 (India Standard Time),""15504.10"",""15520.65"",""15494.20"",""15509.10"",""-29.09"""
"Mon Jan 11 2021 12:00:00 GMT+0530 (India Standard Time),""15509.00"",""15571.55"",""15502.50"",""15556.90"",""46.69"""
