"Date,""Open"",""High"",""Low"",""Close"",""Result ‌CCI‌ (20)"""
"Mon Jun 24 2024 12:45:00 GMT+0530 (India Standard Time),""23009.50"",""23037.85"",""23006.45"",""23023.50"",""88.38"""
"Mon Jun 24 2024 13:00:00 GMT+0530 (India Standard Time),""23023.25"",""23059.15"",""23014.15"",""23054.60"",""102.38"""
"Mon Jun 24 2024 13:15:00 GMT+0530 (India Standard Time),""23054.35"",""23081.85"",""23032.45"",""23045.95"",""104.58"""
"Mon Jun 24 2024 13:30:00 GMT+0530 (India Standard Time),""23046.60"",""23059.20"",""23033.00"",""23044.45"",""85.65"""
"Mon Jun 24 2024 13:45:00 GMT+0530 (India Standard Time),""23045.10"",""23070.40"",""23026.55"",""23048.45"",""82.95"""
"Mon Jun 24 2024 14:00:00 GMT+0530 (India Standard Time),""23047.65"",""23052.45"",""23016.75"",""23030.35"",""60.43"""
"Mon Jun 24 2024 14:15:00 GMT+0530 (India Standard Time),""23029.70"",""23059.60"",""23008.10"",""23055.10"",""64.59"""
"Mon Jun 24 2024 14:30:00 GMT+0530 (India Standard Time),""23055.25"",""23067.40"",""23035.85"",""23053.30"",""76.37"""
"Mon Jun 24 2024 14:45:00 GMT+0530 (India Standard Time),""23055.20"",""23055.20"",""23009.25"",""23039.60"",""48.98"""
"Mon Jun 24 2024 15:00:00 GMT+0530 (India Standard Time),""23039.85"",""23095.95"",""23029.50"",""23087.10"",""112.79"""
"Mon Jun 24 2024 15:15:00 GMT+0530 (India Standard Time),""23087.20"",""23098.10"",""23061.75"",""23071.45"",""130.64"""
"Tue Jun 25 2024 09:15:00 GMT+0530 (India Standard Time),""23101.30"",""23193.25"",""23098.05"",""23159.30"",""285.06"""
"Tue Jun 25 2024 09:30:00 GMT+0530 (India Standard Time),""23159.20"",""23200.60"",""23134.60"",""23190.35"",""282.05"""
"Tue Jun 25 2024 09:45:00 GMT+0530 (India Standard Time),""23187.05"",""23217.95"",""23172.30"",""23172.30"",""231.06"""
"Tue Jun 25 2024 10:00:00 GMT+0530 (India Standard Time),""23175.10"",""23225.85"",""23168.85"",""23218.15"",""196.60"""
"Tue Jun 25 2024 10:15:00 GMT+0530 (India Standard Time),""23217.70"",""23227.30"",""23199.85"",""23210.00"",""165.56"""
